movie_name,release_year,director,age_difference,couple_number,actor_1_name,actor_2_name,character_1_gender,character_2_gender,actor_1_birthdate,actor_2_birthdate,actor_1_age,actor_2_age,older
Sense and Sensibility,1995,Ang Lee,1,2,Emma Thompson,Hugh Grant,woman,man,1959-04-15,1960-09-09,36,35,woman older
Shopgirl,2005,Anand Tucker,1,2,Claire Danes,Jason Schwartzman,woman,man,1979-04-12,1980-06-26,26,25,woman older
Stella Dallas,1937,King Vidor,1,2,Anne Shirley,Tim Holt,woman,man,1918-04-17,1919-02-05,19,18,woman older
Stomp the Yard,2007,Sylvain White,1,1,Meagan Good,Columbus Short,woman,man,1981-08-08,1982-09-19,26,25,woman older
The Aviator,2004,Martin Scorsese,1,3,Kate Beckinsale,Leonardo DiCaprio,woman,man,1973-07-26,1974-11-11,31,30,woman older
The Break-Up,2006,Peyton Reed,1,1,Jennifer Aniston,Vince Vaughn,woman,man,1969-02-11,1970-03-28,37,36,woman older
The Departed,2006,Martin Scorsese,1,3,Vera Farmiga,Leonardo DiCaprio,woman,man,1973-08-06,1974-11-11,33,32,woman older
The Details,2011,Jacob Aaron Estes,1,2,Elizabeth Banks,Tobey Maguire,woman,man,1974-02-10,1975-06-27,37,36,woman older
The Painted Veil,2006,John Curran,1,1,Naomi Watts,Edward Norton,woman,man,1968-09-28,1969-08-18,38,37,woman older
The Sum of All Fears,2002,Phil Alden Robinson,1,1,Bridget Moynahan,Ben Affleck,woman,man,1971-04-28,1972-08-15,31,30,woman older
This Means War,2012,McG,1,2,Reese Witherspoon,Tom Hardy,woman,man,1976-03-21,1977-09-15,36,35,woman older
Troy,2004,Wolfgang Petersen,1,2,Diane Kruger,Orlando Bloom,woman,man,1976-07-15,1977-01-13,28,27,woman older
Unfaithful,2002,Adrian Lyne,1,2,Diane Lane,Olivier Martinez,woman,man,1965-01-21,1966-01-12,37,36,woman older
Wonder,2017,Stephen Chbosky,1,1,Julia Roberts,Owen Wilson,woman,man,1967-10-28,1968-11-18,50,49,woman older
Yesterday,2019,Danny Boyle,1,1,Lily James,Himesh Patel,woman,man,1989-04-05,1990-10-13,30,29,woman older
